0,0,-382.941385,-68.769692
0,1,217.58482,208.3621765
0,2,-195.494885,-44.199692
0,3,-233.9047745,83.8487815
1,0,195.08482,278.9899265
1,1,-273.111685,745.493805
1,2,-358.27219,829.780255
2,0,-2.790435,564.355745
2,1,-72.296974,706.833165
2,2,779.08481,529.862195
2,3,213.13768,510.39253
2,4,165.83482,605.70061
3,0,689.018025,543.73066
4,0,296.4858105,433.8621715
5,0,-60.68620608,485.8040576
5,1,481.4745392,209.8556403
5,2,1112.222072,82.1113528
6,0,626.88543,375.1565465
7,0,444.5494205,504.441985
8,0,476.70857,510.3621915
8,1,570.08482,12.049678
8,2,407.261595,131.7209263
8,3,508.26158,568.137295
9,0,648.4269955,473.862175
10,0,596.625975,604.493635
11,0,520.4568455,475.06617
11,1,281.8895055,122.362175
11,2,142.2854457,570.99818
11,3,588.39547,596.017375
11,4,780.83482,903.61217
11,5,800.93202,997.11219
11,6,886.82227,776.821405
12,0,1056.92795,611.86216
12,1,1228.0848,525.36214
12,2,1278.8196,623.49027
12,3,922.15071,545.86214
12,4,827.05972,567.2157
