0,Metropolitan,151,1,94,4
1,Picadilly,38,61,150,3
2,District,10,129,55,5
3,Victoria,45,158,223,1
4,Bakerloo,174,83,14,1
5,Central,238,39,34,3
6,Jubilee,148,152,154,1
7,Circle,252,208,6,1
8,Northern,35,31,32,4
9,Hammersmith and City,243,134,160,1
10,Waterloo and City,135,213,180,1
11,Overground,244,111,27,7
12,DLR,33,181,176,5
